Sonde serial number                          	N4620333
Balloon release date and time                	2020-11-09T03:21:03
Sonde type                                   	RS41-SGP

   n AscRate HeightMSL      P Temp    RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa   °C     %    °C   °   m/s     K         °          °  g/kg       m      °
  57     6.3       381  980.5 16.4  86.2  14.1  72  10.5 291.3 25.013506 121.535325 10.27     402    253
  58     7.7       388  979.6 16.3  86.1  14.0  71  10.5 291.3 25.013485 121.535225 10.26     412    253
  59     9.5       398  978.8 16.3  86.5  14.1  70  10.6 291.3 25.013456 121.535118 10.30     424    253
  60     7.2       405  977.9 16.2  88.0  14.2  70  10.6 291.2 25.013423 121.535008 10.41     435    253
  61     6.9       412  977.0 16.1  89.2  14.3  69  10.7 291.1 25.013391 121.534901 10.48     447    253
  62     7.4       419  976.1 16.0  89.9  14.3  68  10.8 291.0 25.013363 121.534804 10.51     457    253
  63     7.3       427  975.2 15.9  90.4  14.3  67  10.9 290.9 25.013342 121.534717 10.52     466    253
  64     7.7       434  974.3 15.8  90.8  14.3  66  11.0 290.8 25.013323 121.534636 10.53     475    253
  65     8.4       443  973.4 15.7  91.2  14.3  65  11.1 290.7 25.013302 121.534561 10.53     482    253
  66     8.3       451  972.4 15.7  91.2  14.2  64  11.3 290.7 25.013275 121.534488 10.48     490    253
  67     8.8       460  971.5 15.6  90.7  14.1  64  11.4 290.6 25.013240 121.534420 10.42     498    252
  68    10.7       470  970.6 15.6  90.4  14.0  63  11.6 290.6 25.013196 121.534357 10.37     506    252
  69     8.5       479  969.7 15.6  90.4  14.0  62  11.8 290.5 25.013146 121.534297 10.35     513    252
  70     5.6       485  968.8 15.5  90.9  14.0  62  12.0 290.4 25.013093 121.534237 10.35     521    251
  71     7.1       492  967.9 15.4  91.6  14.0  61  12.1 290.3 25.013034 121.534169 10.38     529    251
  72     7.0       499  967.1 15.3  92.2  14.0  61  12.3 290.2 25.012967 121.534090 10.38     539    250
  73     7.6       506  966.3 15.2  92.3  13.9  60  12.5 290.1 25.012887 121.533999 10.35     551    250
  74     6.5       513  965.5 15.1  92.6  13.9  60  12.7 290.1 25.012792 121.533898 10.36     564    249
  75     8.6       521  964.7 15.0  93.1  13.9  60  12.9 290.0 25.012687 121.533784 10.37     579    249
  76     5.7       527  964.0 14.9  93.3  13.9  60  13.1 289.9 25.012578 121.533655 10.33     596    248
  77     5.7       533  963.3 14.9  93.0  13.8  60  13.3 289.9 25.012474 121.533510 10.29     614    248
  78     6.3       539  962.6 14.9  93.0  13.8  60  13.5 289.9 25.012380 121.533352 10.29     632    247
  79     5.8       545  962.0 14.8  93.6  13.8  60  13.7 289.8 25.012296 121.533187 10.29     651    247
  80     6.3       551  961.3 14.7  93.0  13.6  60  13.9 289.7 25.012220 121.533023 10.18     670    247
  81     4.8       556  960.8 14.8  90.3  13.3  61  14.1 289.7 25.012150 121.532863  9.95     688    247
  82     3.5       560  960.2 15.0  87.8  13.0  61  14.2 289.9 25.012087 121.532709  9.78     705    247
  83     4.2       564  959.7 15.0  87.2  12.9  61  14.4 289.9 25.012032 121.532562  9.74     721    247
  84     4.5       568  959.2 15.0  87.8  13.0  61  14.5 289.9 25.011983 121.532425  9.80     736    247
  85     4.0       572  958.7 15.0  88.5  13.1  61  14.6 289.8 25.011937 121.532299  9.86     749    247
  86     4.9       577  958.2 14.9  88.9  13.1  62  14.7 289.8 25.011892 121.532183  9.88     762    247
  87     3.6       581  957.7 14.9  89.0  13.1  62  14.8 289.8 25.011845 121.532074  9.88     774    247
  88     5.2       586  957.1 14.9  89.0  13.1  62  14.9 289.7 25.011796 121.531970  9.86     786    247
  89     4.8       591  956.6 14.8  89.0  13.0  62  15.0 289.7 25.011746 121.531865  9.84     798    247
  90     4.5       595  956.1 14.8  88.9  13.0  62  15.1 289.7 25.011697 121.531757  9.82     810    247
  91     4.9       600  955.5 14.8  88.9  12.9  62  15.2 289.6 25.011649 121.531641  9.80     823    247
  92     5.4       606  955.0 14.7  89.1  12.9  63  15.2 289.6 25.011603 121.531516  9.80     837    247
  93     5.9       612  954.4 14.7  89.3  12.9  63  15.3 289.5 25.011558 121.531381  9.81     851    247
  94     4.7       616  953.9 14.6  89.5  12.9  63  15.3 289.5 25.011511 121.531235  9.80     867    247
  95     4.3       620  953.3 14.6  89.5  12.9  63  15.3 289.4 25.011459 121.531078  9.78     884    247
  96     4.3       625  952.8 14.6  89.4  12.8  62  15.4 289.4 25.011400 121.530913  9.76     901    247
  97     4.1       629  952.3 14.6  89.3  12.8  62  15.4 289.4 25.011332 121.530744  9.77     920    247
  98     5.6       634  951.7 14.5  89.5  12.8  62  15.4 289.4 25.011254 121.530577  9.77     939    247
  99     5.4       640  951.2 14.5  89.4  12.8  62  15.5 289.4 25.011169 121.530420  9.76     957    247
 100     5.2       645  950.6 14.5  89.2  12.7  62  15.5 289.3 25.011083 121.530276  9.72     974    246
 101     4.1       649  950.1 14.5  88.9  12.7  62  15.5 289.3 25.011000 121.530145  9.68     990    246
 102     4.5       654  949.5 14.5  89.1  12.7  62  15.5 289.3 25.010926 121.530025  9.69    1005    246
 103     4.6       658  949.0 14.4  89.6  12.7  62  15.5 289.3 25.010861 121.529910  9.73    1018    246
 104     4.9       663  948.4 14.4  90.0  12.7  62  15.6 289.2 25.010803 121.529792  9.74    1032    246
 105     5.6       669  947.8 14.3  90.1  12.7  61  15.6 289.2 25.010747 121.529667  9.74    1046    246
 106     5.7       675  947.3 14.3  89.9  12.7  61  15.6 289.1 25.010685 121.529535  9.71    1061    246
