Sonde serial number                          	N4620333
Balloon release date and time                	2020-11-09T03:21:03
Sonde type                                   	RS41-SGP

   n AscRate HeightMSL      P Temp    RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa   °C     %    °C   °   m/s     K         °          °  g/kg       m      °
 251     4.3      1402  868.6  9.9 100.0   9.9  72  13.5 284.6 25.002535 121.509566  8.87    3270    246
 252     4.5      1406  868.1  9.9 100.0   9.9  72  13.5 284.6 25.002514 121.509433  8.86    3283    246
 253     4.4      1411  867.7  9.9 100.0   9.9  72  13.4 284.6 25.002495 121.509304  8.85    3296    246
 254     4.9      1416  867.2  9.8 100.0   9.8  73  13.3 284.5 25.002472 121.509182  8.83    3308    246
 255     4.3      1420  866.7  9.8 100.0   9.8  73  13.3 284.5 25.002438 121.509065  8.82    3320    246
 256     4.3      1424  866.2  9.8 100.0   9.8  73  13.2 284.5 25.002404 121.508953  8.81    3332    246
 257     4.7      1429  865.7  9.8 100.0   9.8  73  13.1 284.4 25.002376 121.508852  8.80    3343    246
 258     5.5      1434  865.2  9.7 100.0   9.7  74  13.1 284.4 25.002350 121.508752  8.78    3353    246
 259     5.6      1440  864.6  9.7 100.0   9.7  74  13.0 284.4 25.002325 121.508643  8.77    3365    246
 260     5.8      1446  864.1  9.7 100.0   9.7  74  13.0 284.3 25.002306 121.508530  8.76    3376    246
 261     5.1      1451  863.5  9.7 100.0   9.7  75  12.9 284.3 25.002293 121.508425  8.76    3386    246
 262     4.9      1456  862.9  9.6 100.0   9.6  75  12.9 284.3 25.002285 121.508319  8.75    3396    246
 263     5.6      1461  862.4  9.6 100.0   9.6  75  12.9 284.3 25.002283 121.508209  8.74    3407    246
 264     7.0      1468  861.8  9.6 100.0   9.6  75  12.8 284.3 25.002283 121.508095  8.74    3417    246
 265     4.6      1473  861.3  9.6 100.0   9.6  76  12.8 284.2 25.002287 121.507978  8.73    3428    247
 266     4.1      1477  860.7  9.6 100.0   9.6  76  12.8 284.2 25.002292 121.507858  8.72    3439    247
 267     5.0      1482  860.2  9.5 100.0   9.5  76  12.8 284.2 25.002298 121.507735  8.71    3450    247
 268     6.0      1488  859.6  9.5 100.0   9.5  76  12.8 284.2 25.002304 121.507612  8.71    3461    247
 269     5.7      1494  859.1  9.5 100.0   9.5  77  12.8 284.1 25.002308 121.507487  8.70    3472    247
 270     6.4      1500  858.5  9.5 100.0   9.5  77  12.7 284.1 25.002310 121.507361  8.69    3484    247
 271     4.8      1505  857.9  9.5 100.0   9.5  77  12.7 284.1 25.002310 121.507236  8.69    3496    247
 272     4.1      1509  857.4  9.5 100.0   9.5  77  12.7 284.1 25.002305 121.507112  8.70    3507    247
 273     5.8      1515  856.8  9.4 100.0   9.4  78  12.7 284.1 25.002294 121.506989  8.70    3519    247
 274     6.5      1522  856.2  9.4 100.0   9.4  78  12.7 284.1 25.002278 121.506867  8.69    3531    247
 275     6.2      1528  855.7  9.4 100.0   9.4  78  12.7 284.1 25.002255 121.506749  8.68    3543    247
 276     5.6      1533  855.1  9.4 100.0   9.4  78  12.7 284.0 25.002224 121.506633  8.68    3555    247
 277     4.7      1538  854.6  9.4 100.0   9.4  79  12.7 284.0 25.002185 121.506520  8.68    3568    247
 278     4.1      1542  854.1  9.4 100.0   9.4  79  12.8 284.0 25.002141 121.506408  8.67    3580    247
 279     4.7      1547  853.6  9.3 100.0   9.3  79  12.8 284.0 25.002095 121.506292  8.67    3593    247
 280     4.3      1551  853.1  9.3 100.0   9.3  79  12.8 284.0 25.002052 121.506171  8.66    3606    247
 281     4.8      1556  852.5  9.3 100.0   9.3  80  12.8 284.0 25.002011 121.506046  8.65    3619    247
 282     4.7      1561  852.0  9.3 100.0   9.3  80  12.8 283.9 25.001974 121.505924  8.64    3632    247
 283     5.5      1566  851.4  9.3 100.0   9.3  80  12.8 283.9 25.001943 121.505803  8.63    3645    247
 284     6.7      1573  850.8  9.2 100.0   9.2  80  12.8 283.9 25.001917 121.505682  8.62    3657    247
 285     7.9      1581  850.2  9.2 100.0   9.2  81  12.8 283.8 25.001901 121.505562  8.61    3669    247
 286     7.1      1588  849.5  9.2 100.0   9.2  81  12.8 283.8 25.001896 121.505446  8.60    3680    248
 287     5.7      1594  848.9  9.2 100.0   9.2  81  12.8 283.8 25.001902 121.505331  8.59    3691    248
 288     6.2      1600  848.3  9.1 100.0   9.1  82  12.8 283.8 25.001913 121.505215  8.59    3701    248
 289     6.2      1606  847.8  9.1 100.0   9.1  82  12.8 283.7 25.001924 121.505092  8.58    3712    248
 290     5.2      1611  847.2  9.1 100.0   9.1  82  12.8 283.7 25.001929 121.504958  8.57    3724    248
 291     3.5      1615  846.7  9.1 100.0   9.1  83  12.8 283.7 25.001925 121.504811  8.57    3738    248
 292     3.8      1619  846.3  9.1 100.0   9.1  83  12.8 283.7 25.001909 121.504658  8.56    3753    248
 293     3.6      1622  845.8  9.0 100.0   9.0  83  12.8 283.7 25.001888 121.504513  8.56    3768    248
 294     4.2      1626  845.3  9.0 100.0   9.0  84  12.8 283.6 25.001870 121.504379  8.55    3781    248
 295     5.9      1632  844.9  9.0 100.0   9.0  84  12.8 283.6 25.001850 121.504254  8.55    3794    248
 296     4.3      1637  844.4  9.0 100.0   9.0  85  12.7 283.6 25.001833 121.504132  8.54    3806    248
 297     5.5      1642  843.9  9.0 100.0   9.0  85  12.7 283.6 25.001820 121.504010  8.54    3818    248
 298     5.3      1648  843.4  9.0 100.0   9.0  86  12.7 283.6 25.001811 121.503891  8.53    3829    248
 299     3.9      1651  843.0  8.9 100.0   8.9  86  12.7 283.6 25.001798 121.503774  8.53    3841    248
 300     4.1      1655  842.5  8.9 100.0   8.9  87  12.7 283.5 25.001782 121.503655  8.52    3853    248
 301     4.1      1659  842.0  8.9 100.0   8.9  87  12.7 283.5 25.001766 121.503536  8.52    3864    248
 302     4.7      1664  841.5  8.9 100.0   8.9  88  12.7 283.5 25.001751 121.503414  8.51    3876    248
 303     5.4      1670  841.0  8.9 100.0   8.9  89  12.7 283.5 25.001740 121.503289  8.50    3889    249
 304     5.2      1675  840.5  8.8 100.0   8.8  89  12.7 283.4 25.001736 121.503161  8.49    3901    249
 305     5.3      1680  840.0  8.8 100.0   8.8  90  12.7 283.4 25.001736 121.503028  8.48    3913    249
 306     6.8      1687  839.5  8.8 100.0   8.8  90  12.6 283.4 25.001741 121.502893  8.47    3926    249
 307     5.2      1692  839.0  8.8 100.0   8.8  91  12.6 283.4 25.001749 121.502755  8.46    3938    249
 308     3.4      1696  838.6  8.8 100.0   8.8  91  12.6 283.4 25.001759 121.502616  8.46    3951    249
 309     4.2      1700  838.1  8.7 100.0   8.7  92  12.6 283.3 25.001769 121.502476  8.46    3964    249
 310     3.6      1703  837.7  8.7 100.0   8.7  92  12.6 283.3 25.001779 121.502336  8.45    3977    249
 311     3.4      1707  837.2  8.7 100.0   8.7  93  12.6 283.3 25.001787 121.502197  8.44    3990    249
 312     4.0      1711  836.8  8.7 100.0   8.7  93  12.6 283.3 25.001793 121.502060  8.43    4002    249
 313     5.0      1716  836.3  8.6 100.0   8.6  94  12.6 283.2 25.001795 121.501926  8.42    4015    249
 314     6.3      1722  835.8  8.6 100.0   8.6  95  12.6 283.2 25.001793 121.501798  8.41    4027    249
 315     5.7      1728  835.3  8.6 100.0   8.6  95  12.5 283.2 25.001795 121.501674  8.41    4039    249
 316     4.8      1732  834.9  8.6 100.0   8.6  96  12.5 283.2 25.001806 121.501549  8.41    4050    250
 317     4.2      1737  834.4  8.6 100.0   8.6  96  12.5 283.2 25.001831 121.501439  8.41    4060    250
 318     3.9      1741  834.0  8.6 100.0   8.6  97  12.5 283.2 25.001868 121.501342  8.41    4067    250
 319     4.2      1745  833.5  8.6 100.0   8.6  98  12.4 283.2 25.001907 121.501236  8.42    4076    250
 320     3.3      1748  833.1  8.6 100.0   8.6  98  12.4 283.2 25.001946 121.501121  8.42    4085    250
 321     4.7      1753  832.7  8.6 100.0   8.6  99  12.4 283.2 25.001982 121.500996  8.42    4096    250
 322     4.5      1757  832.2  8.6 100.0   8.6  99  12.3 283.2 25.002016 121.500862  8.41    4107    250
 323     5.1      1762  831.8  8.5 100.0   8.5 100  12.3 283.1 25.002043 121.500730  8.40    4119    250
 324     3.1      1765  831.3  8.5 100.0   8.5 100  12.2 283.1 25.002061 121.500602  8.39    4130    250
 325     5.0      1770  830.9  8.5 100.0   8.5 101  12.2 283.1 25.002072 121.500474  8.39    4142    250
 326     6.0      1776  830.4  8.5 100.0   8.5 101  12.1 283.1 25.002081 121.500339  8.39    4154    251
 327     3.9      1780  829.9  8.5 100.0   8.5 102  12.0 283.1 25.002090 121.500193  8.39    4168    251
 328     4.4      1785  829.4  8.5 100.0   8.5 102  12.0 283.1 25.002102 121.500044  8.38    4182    251
 329     5.3      1790  829.0  8.5 100.0   8.5 102  11.9 283.0 25.002117 121.499901  8.38    4195    251
 330     5.7      1796  828.5  8.4 100.0   8.4 103  11.9 283.0 25.002136 121.499779  8.38    4206    251
 331     4.7      1800  828.0  8.4 100.0   8.4 103  11.8 283.0 25.002156 121.499680  8.38    4215    251
 332     3.4      1804  827.5  8.4 100.0   8.4 104  11.7 283.0 25.002167 121.499587  8.38    4223    251
 333     3.9      1808  827.0  8.4 100.0   8.4 104  11.7 283.0 25.002172 121.499493  8.38    4232    251
 334     6.1      1814  826.5  8.4 100.0   8.4 105  11.6 283.0 25.002179 121.499398  8.37    4241    251
 335     5.6      1820  826.0  8.4 100.0   8.4 105  11.5 282.9 25.002195 121.499305  8.35    4249    251
 336     5.5      1825  825.5  8.3 100.0   8.3 106  11.5 282.9 25.002219 121.499211  8.35    4257    251
 337     5.1      1830  825.1  8.3 100.0   8.3 106  11.4 282.9 25.002251 121.499115  8.34    4265    251
 338     4.8      1835  824.6  8.3 100.0   8.3 107  11.3 282.9 25.002288 121.499017  8.34    4273    251
 339     4.2      1839  824.1  8.3 100.0   8.3 108  11.3 282.9 25.002330 121.498922  8.33    4281    252
 340     4.1      1843  823.7  8.3 100.0   8.3 108  11.2 282.9 25.002379 121.498828  8.33    4288    252
 341     3.9      1847  823.2  8.3 100.0   8.3 109  11.2 282.8 25.002432 121.498732  8.33    4295    252
 342     5.1      1852  822.7  8.3 100.0   8.3 110  11.2 282.8 25.002487 121.498632  8.32    4303    252
 343     4.8      1857  822.3  8.2 100.0   8.2 110  11.1 282.8 25.002535 121.498528  8.32    4311    252
 344     3.9      1861  821.8  8.2 100.0   8.2 111  11.1 282.8 25.002570 121.498422  8.32    4320    252
 345     5.5      1866  821.3  8.2 100.0   8.2 112  11.1 282.8 25.002595 121.498323  8.31    4329    252
 346     5.2      1872  820.8  8.2 100.0   8.2 113  11.1 282.8 25.002614 121.498228  8.31    4338    252
 347     5.1      1877  820.3  8.2 100.0   8.2 113  11.1 282.8 25.002629 121.498133  8.31    4346    252
 348     4.5      1881  819.8  8.2 100.0   8.2 114  11.1 282.8 25.002643 121.498035  8.31    4355    252
 349     5.0      1886  819.3  8.2 100.0   8.2 115  11.1 282.7 25.002661 121.497931  8.31    4365    252
 350     7.6      1894  818.7  8.1 100.0   8.1 116  11.1 282.7 25.002689 121.497822  8.30    4374    252
 351     5.2      1899  818.2  8.1 100.0   8.1 116  11.2 282.7 25.002724 121.497706  8.30    4384    253
 352     5.6      1905  817.7  8.1 100.0   8.1 117  11.2 282.7 25.002767 121.497586  8.29    4394    253
 353     5.1      1910  817.1  8.1 100.0   8.1 117  11.2 282.7 25.002816 121.497462  8.29    4405    253
 354     3.9      1914  816.6  8.1 100.0   8.1 118  11.2 282.6 25.002871 121.497335  8.28    4415    253
 355     4.4      1918  816.1  8.0 100.0   8.0 119  11.3 282.6 25.002930 121.497206  8.27    4426    253
 356     6.5      1925  815.5  8.0 100.0   8.0 119  11.3 282.6 25.002994 121.497076  8.27    4436    253
 357     6.8      1931  815.0  8.0 100.0   8.0 120  11.3 282.6 25.003061 121.496945  8.28    4447    253
 358     5.9      1937  814.4  8.1 100.0   8.1 120  11.3 282.7 25.003131 121.496816  8.31    4457    253
 359     6.2      1943  813.9  8.1 100.0   8.1 121  11.3 282.7 25.003203 121.496687  8.33    4467    254
 360     5.2      1949  813.4  8.1 100.0   8.1 121  11.3 282.7 25.003277 121.496562  8.33    4477    254
 361     4.0      1953  812.8  8.1 100.0   8.1 121  11.3 282.7 25.003351 121.496440  8.32    4487    254
 362     4.9      1957  812.3  8.0 100.0   8.0 122  11.3 282.6 25.003424 121.496322  8.31    4496    254
 363     5.7      1963  811.8  8.0 100.0   8.0 122  11.3 282.6 25.003498 121.496210  8.30    4504    254
 364     5.6      1969  811.3  8.0 100.0   8.0 122  11.3 282.6 25.003569 121.496104  8.29    4513    254
 365     4.5      1973  810.9  8.0 100.0   8.0 122  11.2 282.5 25.003639 121.496005  8.28    4520    254
 366     5.1      1978  810.4  8.0 100.0   8.0 123  11.2 282.5 25.003706 121.495913  8.28    4527    255
 367     4.5      1983  809.9  7.9 100.0   7.9 123  11.1 282.5 25.003776 121.495826  8.27    4533    255
 368     4.4      1987  809.5  7.9 100.0   7.9 123  11.1 282.5 25.003851 121.495739  8.27    4540    255
 369     4.3      1991  809.1  7.9 100.0   7.9 123  11.0 282.5 25.003928 121.495651  8.27    4546    255
 370     3.2      1995  808.6  7.9 100.0   7.9 123  11.0 282.5 25.004007 121.495563  8.27    4552    255
 371     3.8      1999  808.1  7.9 100.0   7.9 123  10.9 282.5 25.004087 121.495473  8.26    4559    255
 372     4.7      2003  807.6  7.9 100.0   7.9 123  10.8 282.4 25.004167 121.495383  8.25    4565    255
 373     6.8      2010  807.1  7.8 100.0   7.8 123  10.7 282.4 25.004246 121.495293  8.24    4572    255
 374     7.1      2017  806.6  7.8 100.0   7.8 124  10.6 282.4 25.004325 121.495202  8.22    4579    256
 375     5.6      2023  806.1  7.8 100.0   7.8 124  10.5 282.3 25.004402 121.495111  8.21    4586    256
 376     5.1      2028  805.5  7.7 100.0   7.7 124  10.4 282.3 25.004477 121.495020  8.21    4592    256
 377     5.9      2034  805.0  7.7 100.0   7.7 124  10.3 282.3 25.004550 121.494928  8.20    4599    256
 378     4.7      2038  804.6  7.7 100.0   7.7 124  10.2 282.3 25.004620 121.494836  8.19    4607    256
 379     3.7      2042  804.1  7.7 100.0   7.7 124  10.1 282.2 25.004686 121.494745  8.19    4614    256
 380     4.5      2047  803.6  7.7 100.0   7.7 124  10.0 282.2 25.004749 121.494653  8.19    4621    256
 381     4.6      2051  803.2  7.7 100.0   7.7 124   9.9 282.2 25.004807 121.494562  8.19    4629    256
 382     5.0      2056  802.7  7.7 100.0   7.7 124   9.9 282.2 25.004860 121.494470  8.18    4636    257
 383     4.7      2061  802.3  7.6 100.0   7.6 124   9.8 282.2 25.004908 121.494380  8.18    4644    257
 384     3.9      2065  801.9  7.6 100.0   7.6 124   9.7 282.2 25.004949 121.494289  8.18    4652    257
 385     4.6      2070  801.5  7.6 100.0   7.6 125   9.6 282.2 25.004984 121.494199  8.17    4660    257
 386     4.5      2074  801.1  7.6 100.0   7.6 125   9.5 282.2 25.005013 121.494110  8.18    4668    257
 387     3.9      2078  800.7  7.6 100.0   7.6 125   9.5 282.2 25.005033 121.494021  8.18    4676    257
 388     2.9      2081  800.3  7.6 100.0   7.6 125   9.4 282.2 25.005049 121.493932  8.18    4684    257
 389     4.1      2085  799.9  7.6 100.0   7.6 126   9.3 282.2 25.005063 121.493849  8.18    4692    257
 390     3.4      2088  799.5  7.6 100.0   7.6 126   9.2 282.1 25.005076 121.493776  8.18    4699    257
 391     4.4      2093  799.1  7.6 100.0   7.6 127   9.1 282.1 25.005097 121.493717  8.17    4704    257
 392     3.5      2096  798.7  7.6 100.0   7.6 128   9.0 282.1 25.005142 121.493660  8.17    4709    257
 393     4.4      2101  798.3  7.5 100.0   7.5 128   8.9 282.1 25.005200 121.493604  8.16    4713    257
 394     6.1      2107  797.9  7.5 100.0   7.5 129   8.8 282.1 25.005259 121.493543  8.15    4717    257
 395     3.5      2110  797.4  7.5 100.0   7.5 130   8.7 282.0 25.005323 121.493469  8.14    4723    257
 396     3.7      2114  797.0  7.5 100.0   7.5 131   8.6 282.0 25.005382 121.493388  8.14    4730    258
 397     5.9      2120  796.5  7.4 100.0   7.4 132   8.6 282.0 25.005434 121.493305  8.13    4737    258
 398     5.7      2125  796.1  7.4 100.0   7.4 133   8.5 282.0 25.005483 121.493222  8.12    4744    258
 399     4.2      2130  795.6  7.4 100.0   7.4 134   8.4 281.9 25.005531 121.493139  8.10    4751    258
 400     4.6      2134  795.2  7.4 100.0   7.4 135   8.3 281.9 25.005582 121.493060  8.09    4757    258
 401     4.8      2139  794.7  7.4 100.0   7.4 136   8.2 281.9 25.005634 121.492989  8.09    4763    258
 402     4.5      2144  794.3  7.3 100.0   7.3 137   8.1 281.9 25.005685 121.492929  8.09    4768    258
 403     4.7      2148  793.8  7.3 100.0   7.3 138   8.1 281.9 25.005738 121.492877  8.08    4772    258
 404     4.6      2153  793.4  7.3 100.0   7.3 140   8.0 281.8 25.005793 121.492832  8.08    4775    258
 405     5.4      2158  792.9  7.3 100.0   7.3 141   7.8 281.8 25.005853 121.492792  8.08    4778    258
 406     4.0      2162  792.5  7.3 100.0   7.3 142   7.7 281.9 25.005919 121.492755  8.09    4780    258
 407     5.1      2167  792.1  7.3 100.0   7.3 143   7.6 281.9 25.005992 121.492716  8.10    4782    259
 408     3.9      2171  791.7  7.3 100.0   7.3 145   7.4 281.8 25.006066 121.492671  8.09    4785    259
 409     3.6      2175  791.2  7.3 100.0   7.3 146   7.2 281.8 25.006135 121.492633  8.08    4787    259
 410     3.9      2179  790.8  7.3 100.0   7.3 147   7.1 281.8 25.006203 121.492602  8.08    4789    259
 411     4.5      2183  790.4  7.3 100.0   7.3 149   6.9 281.8 25.006271 121.492566  8.08    4791    259
 412     3.7      2187  790.0  7.2 100.0   7.2 150   6.7 281.8 25.006340 121.492542  8.07    4792    259
 413     4.5      2192  789.6  7.2 100.0   7.2 151   6.4 281.7 25.006414 121.492530  8.06    4792    259
 414     4.9      2196  789.2  7.2 100.0   7.2 153   6.2 281.7 25.006490 121.492520  8.05    4791    259
 415     4.0      2201  788.8  7.2 100.0   7.2 154   6.0 281.7 25.006560 121.492492  8.04    4792    259
 416     4.9      2205  788.3  7.1 100.0   7.1 155   5.7 281.7 25.006624 121.492449  8.03    4795    259
 417     3.9      2209  787.9  7.1 100.0   7.1 157   5.4 281.7 25.006686 121.492411  8.04    4798    259
 418     4.7      2214  787.4  7.2 100.0   7.2 158   5.2 281.7 25.006748 121.492390  8.06    4799    260
 419     6.1      2220  786.9  7.3 100.0   7.3 160   4.9 281.8 25.006808 121.492384  8.13    4798    260
 420     5.8      2226  786.4  7.4 100.0   7.4 162   4.7 282.0 25.006867 121.492390  8.22    4796    260
 421     5.1      2231  785.9  7.6  99.9   7.6 164   4.4 282.2 25.006923 121.492406  8.33    4794    260
 422     5.7      2237  785.4  7.9  98.9   7.7 166   4.1 282.5 25.006975 121.492429  8.40    4790    260
 423     5.5      2242  784.9  8.1  97.7   7.8 168   3.9 282.7 25.007024 121.492457  8.45    4786    260
 424     5.0      2247  784.3  8.3  96.5   7.8 170   3.7 282.9 25.007069 121.492487  8.46    4783    260
 425     4.0      2251  783.8  8.5  95.5   7.8 173   3.4 283.1 25.007108 121.492516  8.49    4779    260
 426     6.9      2258  783.3  8.9  94.4   8.0 177   3.2 283.5 25.007142 121.492542  8.62    4776    260
 427     6.7      2265  782.8  9.2  93.1   8.2 181   3.0 283.9 25.007169 121.492562  8.73    4773    260
 428     5.3      2270  782.3  9.4  92.1   8.2 185   2.8 284.1 25.007189 121.492574  8.74    4772    260
 429     5.0      2275  781.8  9.5  91.6   8.2 190   2.7 284.2 25.007201 121.492575  8.77    4771    260
 430     4.6      2280  781.4  9.8  91.0   8.4 196   2.6 284.4 25.007205 121.492562  8.87    4773    260
 431     4.5      2284  781.0 10.1  90.1   8.5 202   2.5 284.8 25.007200 121.492540  8.97    4775    260
 432     4.0      2288  780.5 10.4  88.7   8.6 208   2.5 285.1 25.007186 121.492529  9.03    4776    260
 433     3.4      2292  780.1 10.8  87.3   8.8 214   2.5 285.5 25.007170 121.492529  9.13    4777    260
 434     4.7      2296  779.7 11.1  86.2   8.9 220   2.5 285.9 25.007168 121.492521  9.22    4777    260
 435     4.1      2300  779.3 11.4  85.4   9.0 225   2.6 286.1 25.007172 121.492506  9.27    4779    260
 436     4.3      2305  778.9 11.5  84.8   9.1 230   2.7 286.3 25.007176 121.492500  9.31    4779    260
 437     5.0      2310  778.4 11.7  84.5   9.2 233   2.9 286.5 25.007179 121.492509  9.38    4778    260
 438     4.7      2314  777.9 11.8  84.4   9.2 237   3.0 286.6 25.007182 121.492531  9.42    4776    260
 439     6.3      2321  777.4 11.8  84.5   9.2 239   3.2 286.5 25.007186 121.492565  9.44    4773    260
 440     5.7      2326  776.9 11.7  84.9   9.3 241   3.3 286.5 25.007192 121.492608  9.47    4768    260
 441     4.6      2331  776.4 11.7  85.3   9.4 243   3.5 286.6 25.007201 121.492660  9.52    4763    260
 442     6.7      2338  775.9 11.8  85.4   9.4 244   3.7 286.6 25.007211 121.492718  9.58    4757    260
 443     6.5      2344  775.4 11.8  85.4   9.5 245   3.8 286.6 25.007224 121.492782  9.60    4750    260
 444     4.4      2349  774.9 11.9  85.1   9.5 245   4.0 286.7 25.007240 121.492850  9.60    4743    260
 445     4.5      2353  774.4 11.9  84.8   9.5 246   4.1 286.8 25.007258 121.492920  9.61    4736    260
 446     7.2      2360  774.0 12.0  84.5   9.5 246   4.3 286.8 25.007280 121.492991  9.62    4729    260
 447     5.0      2365  773.5 12.0  84.2   9.5 247   4.4 286.8 25.007305 121.493062  9.62    4721    260
 448     4.0      2369  773.1 12.1  84.1   9.5 247   4.5 286.9 25.007333 121.493130  9.63    4714    260
 449     5.1      2374  772.6 12.1  84.0   9.5 247   4.7 286.9 25.007365 121.493196  9.65    4707    260
 450     3.7      2378  772.3 12.2  83.9   9.5 247   4.8 287.0 25.007401 121.493257  9.68    4700    260
 451     3.7      2382  771.9 12.2  84.0   9.6 247   4.9 287.0 25.007440 121.493315  9.71    4693    260
 452     3.5      2385  771.5 12.2  84.0   9.6 247   5.0 287.0 25.007472 121.493385  9.73    4686    260
 453     4.3      2390  771.2 12.2  83.9   9.6 247   5.1 287.0 25.007492 121.493474  9.72    4677    260
 454     3.1      2393  770.8 12.2  83.8   9.6 246   5.2 287.1 25.007504 121.493566  9.72    4667    260
 455     3.5      2396  770.5 12.2  83.7   9.6 246   5.3 287.1 25.007515 121.493641  9.72    4659    260
 456     4.4      2401  770.2 12.2  83.6   9.6 246   5.4 287.1 25.007526 121.493699  9.73    4653    260
 457     3.7      2404  769.8 12.3  83.5   9.6 246   5.4 287.1 25.007539 121.493745  9.73    4649    260
 458     3.2      2408  769.5 12.3  83.4   9.6 246   5.5 287.1 25.007556 121.493785  9.74    4644    260
 459     3.9      2411  769.2 12.3  83.3   9.6 246   5.5 287.1 25.007577 121.493830  9.74    4639    260
 460     2.7      2414  768.8 12.3  83.3   9.6 245   5.5 287.2 25.007598 121.493890  9.75    4633    260
 461     3.7      2418  768.5 12.3  83.2   9.5 245   5.6 287.2 25.007620 121.493957  9.74    4626    260
 462     3.9      2422  768.2 12.3  83.1   9.5 245   5.6 287.1 25.007641 121.494026  9.73    4619    260
 463     3.6      2425  767.9 12.3  83.1   9.5 245   5.6 287.1 25.007658 121.494096  9.73    4612    260
 464     3.2      2428  767.5 12.3  83.2   9.5 245   5.6 287.1 25.007672 121.494165  9.72    4604    260
 465     3.3      2432  767.2 12.2  83.2   9.5 245   5.6 287.1 25.007690 121.494230  9.71    4598    260
 466     3.8      2436  766.9 12.2  83.3   9.5 244   5.6 287.1 25.007719 121.494288  9.71    4591    260
 467     3.9      2440  766.6 12.2  83.4   9.5 244   5.6 287.0 25.007758 121.494339  9.71    4586    261
 468     3.7      2443  766.2 12.2  83.5   9.5 244   5.6 287.0 25.007796 121.494387  9.72    4580    261
 469     4.2      2447  765.9 12.2  83.6   9.5 244   5.5 287.0 25.007827 121.494435  9.72    4575    261
 470     2.8      2450  765.6 12.1  83.4   9.4 244   5.5 287.0 25.007852 121.494482  9.70    4570    261
 471     3.7      2454  765.2 12.1  83.3   9.4 243   5.5 287.0 25.007876 121.494529  9.68    4564    261
 472     3.7      2458  764.9 12.1  83.3   9.4 243   5.5 286.9 25.007899 121.494576  9.66    4559    261
 473     4.0      2462  764.5 12.1  83.3   9.3 243   5.4 286.9 25.007923 121.494621  9.66    4554    261
 474     3.2      2465  764.2 12.1  83.3   9.3 243   5.4 286.9 25.007948 121.494669  9.65    4549    261
 475     4.0      2469  763.9 12.0  83.4   9.3 242   5.3 286.9 25.007973 121.494726  9.65    4543    261
 476     4.4      2473  763.5 12.0  83.6   9.3 242   5.3 286.8 25.008003 121.494787  9.67    4536    261
 477     3.4      2477  763.2 12.0  83.7   9.3 242   5.2 286.8 25.008030 121.494850  9.67    4530    261
 478     3.1      2480  762.8 12.0  83.7   9.3 242   5.2 286.8 25.008048 121.494919  9.66    4522    261
 479     4.9      2485  762.5 12.0  83.7   9.3 241   5.1 286.8 25.008061 121.494982  9.65    4516    261
 480     3.7      2488  762.2 11.9  83.7   9.3 241   5.1 286.8 25.008075 121.495024  9.65    4512    261
 481     3.6      2492  761.8 11.9  83.7   9.3 241   5.0 286.8 25.008090 121.495048  9.65    4509    261
 482     3.6      2495  761.5 11.9  83.7   9.3 241   5.0 286.7 25.008105 121.495066  9.64    4507    261
 483     3.0      2498  761.2 11.9  83.4   9.2 241   4.9 286.7 25.008120 121.495088  9.61    4504    261
 484     3.0      2501  760.8 11.9  82.7   9.1 241   4.8 286.7 25.008133 121.495127  9.54    4500    261
 485     4.4      2506  760.5 12.0  81.3   8.9 240   4.8 286.8 25.008146 121.495178  9.41    4495    261
 486     3.5      2509  760.2 12.0  79.9   8.7 240   4.7 286.8 25.008158 121.495215  9.27    4491    261
 487     4.3      2514  759.9 12.1  78.7   8.5 240   4.7 286.8 25.008173 121.495234  9.17    4489    261
 488     3.5      2517  759.5 12.1  77.8   8.4 240   4.6 286.9 25.008193 121.495273  9.10    4485    261
 489     3.3      2520  759.2 12.2  77.2   8.3 240   4.6 286.9 25.008213 121.495305  9.05    4481    261
 490     2.9      2523  758.9 12.2  76.9   8.2 241   4.5 286.9 25.008233 121.495337  9.02    4478    261
 491     4.0      2527  758.6 12.2  76.8   8.2 241   4.5 286.9 25.008254 121.495369  9.01    4474    261
 492     3.1      2530  758.3 12.2  76.9   8.2 241   4.5 286.9 25.008276 121.495402  9.02    4470    261
 493     3.2      2534  758.0 12.1  77.0   8.2 241   4.4 286.9 25.008298 121.495436  9.03    4467    261
 494     3.7      2537  757.6 12.1  77.2   8.2 241   4.4 286.8 25.008321 121.495469  9.04    4463    261
 495     4.6      2542  757.3 12.1  77.2   8.2 242   4.4 286.8 25.008344 121.495501  9.03    4459    261
 496     4.0      2546  757.0 12.1  77.0   8.2 242   4.4 286.8 25.008367 121.495533  9.00    4456    261
 497     3.3      2549  756.7 12.1  76.7   8.1 242   4.4 286.8 25.008390 121.495554  8.98    4453    261
 498     2.4      2552  756.4 12.1  76.6   8.1 243   4.4 286.8 25.008413 121.495573  8.96    4451    261
 499     3.9      2556  756.1 12.1  76.5   8.1 244   4.4 286.8 25.008437 121.495593  8.95    4449    261
 500     3.8      2559  755.8 12.0  76.6   8.1 244   4.4 286.7 25.008459 121.495612  8.95    4446    261
 501     2.0      2561  755.5 12.0  76.4   8.0 245   4.4 286.7 25.008482 121.495632  8.93    4444    261
